ensembl_gene_id	go_id
Y47H9C.6	GO:0006508
Y47H9C.6	GO:0006915
Y47H9C.6	GO:0016021
Y47H9C.6	GO:0004197
Y47H9C.6	GO:0008234
C43H8.1	GO:0006511
C43H8.1	GO:0051603
C43H8.1	GO:0009792
C43H8.1	GO:0002119
C43H8.1	GO:0040011
C43H8.1	GO:0040007
C43H8.1	GO:0000003
C43H8.1	GO:0008340
C43H8.1	GO:0019773
C43H8.1	GO:0005839
C43H8.1	GO:0004175
C43H8.1	GO:0004298
C43H8.1	GO:0018996
C43H8.1	GO:0040010
C43H8.1	GO:0007010
C43H8.1	GO:0051179
C43H8.1	GO:0035046
C43H8.1	GO:0016021
C43H8.1	GO:0005737
C43H8.1	GO:0003779
H16D19.1	GO:0006418
H16D19.1	GO:0006431
H16D19.1	GO:0009792
H16D19.1	GO:0000003
H16D19.1	GO:0005737
H16D19.1	GO:0000166
H16D19.1	GO:0004812
H16D19.1	GO:0005524
H16D19.1	GO:0004825
H16D19.1	GO:0030246
T27C10.8	GO:0002119
T27C10.8	GO:0040011
T27C10.8	GO:0040010
T27C10.8	GO:0010171
T27C10.8	GO:0040002
T27C10.8	GO:0002009
T27C10.8	GO:0018996
T27C10.8	GO:0016021
Y106G6A.5	GO:0016197
Y106G6A.5	GO:0009792
Y106G6A.5	GO:0031083
Y106G6A.5	GO:0005515
Y106G6A.5	GO:0005198
Y106G6A.5	
F55H12.3	GO:0005515
F55H12.3	GO:0030246
F55H12.3	GO:0005509
F55F8.5	GO:0000463
F55F8.5	GO:0007050
F55F8.5	GO:0009792
F55F8.5	GO:0002119
F55F8.5	GO:0040011
F55F8.5	GO:0009790
F55F8.5	GO:0001703
F55F8.5	GO:0010171
F55F8.5	GO:0000003
F55F8.5	GO:0002009
F55F8.5	GO:0040007
F55F8.5	GO:0040035
F55F8.5	GO:0040010
F55F8.5	GO:0040039
F55F8.5	GO:0006898
F55F8.5	GO:0032940
F55F8.5	GO:0071688
F55F8.5	GO:0030163
F55F8.5	GO:0070545
F55F8.5	GO:0005856
F55F8.5	GO:0016324
F55F8.5	GO:0009925
F55F8.5	GO:0005882
F55F8.5	GO:0043229
F55F8.5	GO:0030056
F55F8.5	GO:0003779
F55F8.5	GO:0051015
F55F8.5	GO:0005515
F55F8.5	GO:0009987
F55F8.5	GO:0018996
F55F8.5	GO:0008340
F55F8.5	GO:0006997
F55F8.5	GO:0051301
F55F8.5	GO:0000910
C26C6.9	GO:0006810
C26C6.9	GO:0016021
M01A12.1	GO:0006468
M01A12.1	GO:0004672
M01A12.1	GO:0005524
Y65B4BL.6	GO:0006470
Y65B4BL.6	GO:0004725
Y65B4BL.6	
C27A12.5	GO:0006355
C27A12.5	GO:0002119
C27A12.5	GO:0040011
C27A12.5	GO:0060323
C27A12.5	GO:0007588
C27A12.5	GO:0010171
C27A12.5	GO:0035262
C27A12.5	GO:0060465
C27A12.5	GO:0005634
C27A12.5	GO:0003700
C27A12.5	GO:0043565
C27A12.5	GO:0008270
C27A12.5	GO:0003677
F53B6.8	
F32B5.3	
Y23H5B.2	GO:0016529
Y23H5B.2	GO:0016787
T22H2.1	GO:0016020
T22H2.1	GO:0008375
F56H1.7	GO:0040018
F56H1.7	GO:0000003
F56H1.7	GO:0040011
F56H1.7	GO:0040035
F56H1.7	GO:0040007
F56H1.7	GO:0002119
F56H1.7	GO:0003676
F56H1.7	GO:0008270
Y39G10AR.11	GO:0003677
Y39G10AR.11	GO:0006506
Y39G10AR.11	GO:0009792
Y39G10AR.11	GO:0005789
Y39G10AR.11	GO:0016021
Y39G10AR.11	
F49B2.3	GO:0071688
F25H2.9	GO:0006511
F25H2.9	GO:0051603
F25H2.9	GO:0016021
F25H2.9	GO:0019773
F25H2.9	GO:0005839
F25H2.9	GO:0005515
F25H2.9	GO:0004175
F25H2.9	GO:0004298
F25H2.9	GO:0009792
F25H2.9	GO:0000003
F25H2.9	GO:0040010
F25H2.9	GO:0010171
F25H2.9	GO:0040017
F25H2.9	GO:0040018
F25H2.9	GO:0007413
F25H2.9	GO:0018991
F25H2.9	GO:0040011
F25H2.9	GO:0016358
ZK973.6	GO:0008340
ZK973.6	GO:0016021
ZK973.6	GO:0003779
ZK973.6	GO:0005515
ZK973.6	GO:0051087
Y105E8A.20	GO:0006418
Y105E8A.20	GO:0005737
Y105E8A.20	GO:0000166
Y105E8A.20	GO:0004812
Y105E8A.20	GO:0005524
Y105E8A.20	GO:0016021
Y105E8A.20	GO:0008152
Y105E8A.20	GO:0006431
Y105E8A.20	GO:0016491
Y105E8A.20	GO:0004825
Y105E8A.20	GO:0016772
Y105E8A.20	GO:0016301
ZC328.1	
W03F11.3	GO:0003676
W03F11.3	GO:0004523
W03F11.3	GO:0005198
F36D1.23	
Y71F9B.6	GO:0002009
Y71F9B.6	GO:0002119
Y71F9B.6	GO:0040007
Y71F9B.6	GO:0040035
ZK1151.1	GO:0007050
ZK1151.1	GO:0003779
ZK1151.1	GO:0005515
ZK1151.1	GO:0016021
ZK1151.1	GO:0006412
ZK1151.1	GO:0009792
ZK1151.1	GO:0005840
ZK1151.1	GO:0005856
ZK1151.1	GO:0003735
ZK1151.1	GO:0007186
ZK1151.1	GO:0007413
ZK1151.1	GO:0008340
ZK1151.1	GO:0004983
ZK1151.1	GO:0006811
ZK1151.1	GO:0006810
ZK1151.1	GO:0016020
