ensembl_gene_id	entrezgene
C31H5.3	191605
C36B1.7	172681
C12C8.2	172759
C36B1.8	172682
C24A11.8	172189
Y39G10AL.1	171783
T02G6.5	173060
F46F11.2	172219
C47F8.5	183561
M05B5.6	3565192
Y105E8B.6	173324
F28C12.7	185059
Y110A7A.21	4927052
C24G7.1	182851
F47B3.1	171982
F47B3.1	171984
Y53C10A.9	173081
W02D3.10	189113
T15D6.3	173108
F32H2.3	172712
Y6B3B.3	189367
W04A4.4	189180
T28F2.1	189047
T23H2.4	188817
Y92H12BR.3	171707
B0205.5	181832
Y47H9C.10	190001
F46A9.3	185828
Y48G10A.4	173216
D2030.11	266841
DY3.5	183974
F25H5.5	172742
D1007.13	183890
K10C3.4	187255
C41G7.3	172786
F36A2.2	185334
Y71G12B.9	171739
ZK39.3	173009
E01A2.2	171996
Y71F9B.1	190590
H05L14.2	172577
K11D2.3	173121
Y106G6G.1	172900
ZC328.4	172342
Y54E5B.3	173353
F17B5.2	184612
ZK524.4	172500
M01E11.1	187374
T09E11.7	188335
F25H5.10	7040136
F31C3.1	173374
Y18D10A.12	173154
Y65B4BR.1	190488
ZK858.3	172736
W01B11.6	171903
F27C1.3	172194
W02A11.1	173142
Y71F9B.9	171839
F21F3.5	172105
T09B4.3	188315
C01G8.5	172174
C06A5.3	172274
Y54E10A.11	171893
H06O01.1	172433
K09H9.9	13179692
F55H12.7	13181291
C17E4.4	182725
W03D8.8	189157
R05D11.1	187612
C55B7.8	172357
F43G9.5	172657
C46H11.7	183524
F17B5.5	184613
C15A11.3	172493
Y37F4.7	259398
D2030.1	172510
R05D11.5	172649
K05C4.2	173335
Y92H12A.4	3565441
F09C3.3	184227
C30F12.7	172430
Y52B11A.19	13182032
K06A5.3	172352
Y54E10BL.3	190263
C48E7.1	172322
ZK39.2	173010
Y63D3A.4	173276
W05H12.4	13182776
D1037.3	171934
F26H9.2	172753
C10G11.8	172324
F11A6.15	13182245
F36F2.1	172722
Y48G8AL.14	171691
Y105E8A.7	13183020
Y105E8A.7	13183021
K08C9.5	187139
W03G9.8	3565198
F57B10.4	172375
Y71A12B.8	190578
C37A5.11	6418575
B0205.13	4362999
F30A10.15	13181488
K07A1.4	187081
T25G3.3	3565801
C35E7.8	183245
ZK858.7	259389
Y106G6H.3	172921
F30A10.12	3564948
T22A3.2	188710
ZK265.6	191277
K07A1.10	187083
Y106G6H.4	190925
F59C6.6	172932
F26E4.3	172827
F25H2.12	172945
W01B11.2	189085
Y52B11A.12	NA
T03F1.10	171967
Y6B3B.5	173241
Y48G1BL.1	190031
F10G8.7	172867
W05F2.3	171908
R05D7.3	173095
Y71G12B.5	190598
F56A6.5	3565307
Y47H9C.2	173062
T26E3.6	188924
Y71G12B.20	171727
Y54E10A.16	171898
Y105E8B.9	173326
Y53C10A.15	4363016
F33D11.9	172256
C32F10.2	172249
Y37E3.11	171770
F43G9.9	172660
C55C2.4	183850
F53G12.3	186188
M04C9.4	187441
C18E3.9	172020
C01H6.9	172462
Y110A7A.4	172149
F55F8.9	172230
C41G7.2	172784
